nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0108315	Maia Brewton	1977	\N	actress,soundtrack	tt0092513,tt0098792,tt0088763,tt0098888	https://image.tmdb.org/t/p/{width_variable}/w10sqQx1ANA2KFwYc37gS4Kl8Up.jpg
nm0108348	Leonid Brezhnev	1906	1982		tt0397176,tt13884326,tt13178698,tt14130644	https://image.tmdb.org/t/p/{width_variable}/8GJF8aNEGhwHx2RzI4ZYHnFegHA.jpg
nm0108513	Lauren Brice	1962	2015	actress	tt0276092,tt0211332,tt0144342,tt0148955	https://image.tmdb.org/t/p/{width_variable}/emq8F2FY7KbZWvk5ado5WLVQqp2.jpg
nm0109131	Alfred Lucchetti	1934	2011	actor,miscellaneous	tt1322959,tt0081823,tt0082039,tt0297174	https://image.tmdb.org/t/p/{width_variable}/1aY1H8d0jNo8W0TlXDNySea6iJ3.jpg
nm0109699	Simon Brint	1950	2011	composer,music_department,actor	tt0092944,tt0092355,tt1033643,tt0126159	https://image.tmdb.org/t/p/{width_variable}/wMxjeyYqqNuC61fZTIUWWfXh4Yz.jpg
nm0110139	Tony Britten	\N	\N	composer,music_department,director	tt7718310,tt1792085,tt4440040,tt2543298	https://image.tmdb.org/t/p/{width_variable}/6H0eOdrATHalkmIhIu1sWZd67TK.jpg
nm0110258	Klaus Brix	1941	\N	cinematographer,camera_department,actor	tt0094524,tt0806910,tt1157603,tt0846838	\N
nm0110496	Martine Brochard	1944	\N	actress	tt0076360,tt0071537,tt0198482,tt0098063	https://image.tmdb.org/t/p/{width_variable}/e8OYfSRNm1fz0t5nYgXNm53PyiF.jpg
nm0111177	Fred Brogger	\N	\N	writer	tt0097115	\N
nm0111180	Mark Brogger	\N	\N	writer	tt0097115	\N
nm0111527	Michael Bronson	\N	\N	producer,miscellaneous,executive	tt0176357,tt0159876,tt0335704,tt2042634	\N
nm0112533	Claude Brosset	1943	2007	actor	tt0220212,tt0464913,tt0079477,tt0173594	https://image.tmdb.org/t/p/{width_variable}/u2TEqxC1TwE7WdxYIXkrYTZi9Tf.jpg
nm0112562	Ingrid Broszat	\N	\N	editor	tt0111652,tt0208190,tt0075279,tt0806910	\N
nm0112805	Sophie Broustal	\N	\N	actress	tt0109362,tt0109682,tt0871848,tt1465518	https://image.tmdb.org/t/p/{width_variable}/v3snHMZpPlfO33cPe36o4uGScSC.jpg
nm0114422	Peter Brown	1935	2016	actor,soundtrack,producer	tt0058267,tt0051519,tt1091722,tt0071517	https://image.tmdb.org/t/p/{width_variable}/f2NSJ5tgekVyGYw5gvczeiIE1Jx.jpg
nm0115185	Kirk Browning	1921	2008	director,producer,assistant_director	tt0176357,tt0159876,tt0220822,tt0335704	https://image.tmdb.org/t/p/{width_variable}/sqqMIpAeowuV9dFVYHmgeocOGMr.jpg
nm0115327	Burkhard Brozat	\N	\N	composer,soundtrack	tt0096695,tt0097525	\N
nm0115328	Jirí Brozek	1947	\N	editor,actor,editorial_department	tt0342844,tt0163019,tt0104643,tt0427873	\N
nm0115379	Debbie Brubaker	\N	\N	producer,production_manager,camera_department	tt10888878,tt5688932,tt2334873,tt7087260	https://image.tmdb.org/t/p/{width_variable}/dn6Unr3rCk6SIAWyLZuHnedv4h4.jpg
nm0115551	Mona Bruce	1924	2008	actress,writer	tt0165593,tt0441950,tt0159226,tt0063895	https://image.tmdb.org/t/p/{width_variable}/5y3nLY1uiKba3QgxGawp8wS3szE.jpg
nm0115720	Georg Brueckner	\N	\N	actor	tt0097525	\N
nm0115763	Paul M. van Brugge	1959	\N	composer,music_department	tt0424786,tt0247303,tt0296915,tt1675307	https://image.tmdb.org/t/p/{width_variable}/nPtwxpAODX2RuWKaI1jLUQtNwul.jpg
nm0115797	Achille Brugnini	\N	\N	actor	tt5096470,tt0092298,tt0117364,tt8404614	https://image.tmdb.org/t/p/{width_variable}/mnIj0TNKLZQ1cJyw9Ua8yYWFW0S.jpg
nm0115874	Pierre Brulatour	\N	\N	actor	tt0118745,tt0101514,tt0088863,tt0098998	\N
nm0116146	Jeff Bruner	\N	\N	composer,actor	tt0415307,tt0206754,tt0098998,tt0212740	\N
nm0116253	Irene Brunhöfer	\N	\N	editor,editorial_department	tt0131686,tt0806910,tt1157603,tt0274219	\N
nm0116342	Karlheinz Brunnemann	1927	2013	producer,miscellaneous,sound_department	tt0069302,tt0112080,tt0054939,tt0065656	\N
nm0117391	Vladimir Brylyakov	1958	\N	cinematographer,camera_department,miscellaneous	tt2455036,tt0090371,tt0101003,tt0196228	https://image.tmdb.org/t/p/{width_variable}/whgvgzEcSZlVQTwK0MLplZ3ThFo.jpg
nm0117770	Chico Buarque	1944	\N	music_department,composer,soundtrack	tt1615160,tt0457076,tt0186256,tt0290350	https://image.tmdb.org/t/p/{width_variable}/uD11UmjyX21UnLg4HSeyrQ6QOow.jpg
nm0117814	István Bubik	1958	2004	actor	tt0145503,tt0096704,tt0826783,tt0388563	\N
nm0118190	Martin Buchhorn	1944	\N	producer,director,script_department	tt0094524,tt0109104,tt0127263,tt0806910	\N
nm0118209	James Buchli	1945	\N		tt0099158	\N
